Date,Symbol,Futures Contracts,Futures Quantity,Futures Value (Rs. In Crs.),Options Contracts,Options Quantity,Options Value (Rs. In Crs.),Total Overall Value (Rs. In Crs.),Equity Traded Value (Rs. In Crs.),Speculation Ratio,Equity Traded Quantity (in Lakhs),Equity Number of Trades,Equity Total Market Cap (Rs. Crs.),options/futures,open,high,low ,close
2016-12-06,NIFTY,103905,7792875,6379.91,1208887,90666525,74550.78,80930.69,13676.35,5.917564994,7879.06,6607101,10497388.62,11.68524007,8153.15,8178.7,8130.85,8143.15
2016-12-07,NIFTY,149911,11243325,9171.51,1684609,126345675,103732.78,112904.29,15900.05,7.100876412,8268.97,7021445,10455639.4,11.31032731,8168.4,8190.45,8077.5,8102.05
2016-12-08,NIFTY,153171,11487825,9469.75,1749695,131227125,107995.51,117465.26,16045.64,7.320696463,7853.94,7824210,10623207.11,11.40426199,8152.1,8256.25,8151.75,8246.85
2016-12-09,NIFTY,96397,7229775,5984.56,1359321,101949075,84499.39,90483.95,16860.77,5.366537234,8719.03,7403032,10643923.51,14.11956602,8271.7,8274.95,8241.95,8261.75
2016-12-12,NIFTY,124536,9340200,7665.17,1568284,117621300,97313.79,104978.96,13324.58,7.878594297,7084.5,6708322,10545352.83,12.69558144,8230.65,8230.65,8154.45,8170.8
2016-12-13,NIFTY,101835,7637625,6269.2,1200698,90052350,74447.4,80716.6,18050.07,4.471816453,7956.45,7325395,10563443.68,11.87510368,8196.15,8228.85,8155.8,8221.8
2016-12-14,NIFTY,107154,8036550,6594.29,1410297,105772275,87243.15,93837.44,16150.98,5.810015244,7599.45,7501927,10492670.4,13.23010514,8229.35,8229.4,8165.1,8182.45
2016-12-15,NIFTY,199618,14971350,12269.02,2808319,210623925,172604.92,184873.94,17108.61,10.80590065,7960.17,7486692,10489815.2,14.06835428,8128.4,8225.9,8121.95,8153.6
2016-12-16,NIFTY,115379,8653425,7055.98,1713102,128482650,105579.23,112635.21,18133.91,6.211303023,7818.05,7747065,10463002.22,14.96308521,8178.2,8178.7,8127.45,8139.45
2016-12-19,NIFTY,71657,5374275,4373.76,1526850,114513750,93840.92,98214.68,13299.21,7.385001064,6409.1,6430939,10417005,21.45543423,8126,8132.5,8094.85,8104.35
