Date,Symbol,Futures Contracts,Futures Quantity,Futures Value (Rs. In Crs.),Options Contracts,Options Quantity,Options Value (Rs. In Crs.),Total Overall Value (Rs. In Crs.),Equity Traded Value (Rs. In Crs.),Equity Traded Quantity (in Lakhs),Equity Number of Trades,Equity Total Market Cap (Rs. Crs.)
2024-07-30,NIFTY,227835,5695875,14217.36,80584776,2014619400,5018643.30,5032860.66,136557.36,50493.59,44268683,45682580.86
2024-07-30,NIFTYNXT50,460,4600,34.30,2010,20100,151.69,185.99,136557.36,50493.59,44268683,45682580.86
2024-07-31,BANKNIFTY,211390,3170850,16374.16,631889216,9478338240,48881330.58,48897704.74,136355.26,51468.53,43508773,45865877.61
2024-07-31,FINNIFTY,1785,44625,104.93,3648420,91210500,214854.26,214959.19,136355.26,51468.53,43508773,45865877.61
2024-07-31,MIDCPNIFTY,9878,493900,640.79,3760771,188038550,244321.44,244962.23,136355.26,51468.53,43508773,45865877.61
2024-07-31,NIFTY,179329,4483225,11207.33,101260270,2531506750,6303240.45,6314447.78,136355.26,51468.53,43508773,45865877.61
2024-07-31,NIFTYNXT50,453,4530,33.92,1666,16660,126.48,160.40,136355.26,51468.53,43508773,45865877.61
2024-08-01,BANKNIFTY,121818,1827270,9481.91,51634526,774517890,4026118.98,4035600.89,135582.04,52082.92,44337740,45791783.78
2024-08-01,FINNIFTY,1556,38900,91.74,8166678,204166950,481154.63,481246.37,135582.04,52082.92,44337740,45791783.78
2024-08-01,MIDCPNIFTY,19783,989150,1278.45,11457949,572897450,742048.64,743327.09,135582.04,52082.92,44337740,45791783.78
2024-08-01,NIFTY,247796,6194900,15524.93,595295870,14882396750,37199986.66,37215511.59,135582.04,52082.92,44337740,45791783.78
2024-08-01,NIFTYNXT50,1004,10040,74.93,3069,30690,232.61,307.54,135582.04,52082.92,44337740,45791783.78
2024-08-02,BANKNIFTY,166854,2502810,12896.68,68752444,1031286660,5327905.87,5340802.55,130458.61,52421.97,44117371,45312388.81
2024-08-02,FINNIFTY,2406,60150,141.03,15093722,377343050,886709.08,886850.11,130458.61,52421.97,44117371,45312388.81
2024-08-02,MIDCPNIFTY,23055,1152750,1465.40,24950332,1247516600,1593951.62,1595417.02,130458.61,52421.97,44117371,45312388.81
2024-08-02,NIFTY,361777,9044425,22434.00,73903659,1847591475,4599220.25,4621654.25,130458.61,52421.97,44117371,45312388.81
2024-08-02,NIFTYNXT50,666,6660,49.19,1602,16020,120.48,169.67,130458.61,52421.97,44117371,45312388.81
2024-08-05,BANKNIFTY,270431,4056465,20432.32,110968870,1664533050,8403011.37,8423443.69,156833.47,64622.79,63128598,43792315.11
2024-08-05,FINNIFTY,6461,161525,369.92,38501473,962536825,2202455.66,2202825.58,156833.47,64622.79,63128598,43792315.11
2024-08-05,MIDCPNIFTY,33564,1678200,2066.79,192046073,9602303650,11825630.45,11827697.24,156833.47,64622.79,63128598,43792315.11
2024-08-05,NIFTY,786368,19659200,47519.46,115830515,2895762875,7060473.25,7107992.71,156833.47,64622.79,63128598,43792315.11
2024-08-05,NIFTYNXT50,1594,15940,114.02,1702,17020,125.41,239.43,156833.47,64622.79,63128598,43792315.11
2024-08-06,BANKNIFTY,193219,2898285,14572.93,140161193,2102417895,10571378.45,10585951.38,124789.15,45229.7,47641816,43580435.4
2024-08-06,FINNIFTY,12305,307625,700.97,522284542,13057113550,29670383.23,29671084.20,124789.15,45229.7,47641816,43580435.4
2024-08-06,MIDCPNIFTY,23426,1171300,1455.77,4234391,211719550,265324.63,266780.40,124789.15,45229.7,47641816,43580435.4
2024-08-06,NIFTY,461525,11538125,27950.34,111212757,2780318925,6748765.96,6776716.30,124789.15,45229.7,47641816,43580435.4
2024-08-06,NIFTYNXT50,1183,11830,84.71,1793,17930,133.72,218.43,124789.15,45229.7,47641816,43580435.4
2024-08-07,BANKNIFTY,205076,3076140,15447.91,680060336,10200905040,51111689.22,51127137.13,118107.97,42803.35,42143336,44456713.08
2024-08-07,FINNIFTY,3009,75225,171.73,3818431,95460775,218458.39,218630.12,118107.97,42803.35,42143336,44456713.08
2024-08-07,MIDCPNIFTY,16764,838200,1049.34,5379431,268971550,337738.65,338787.99,118107.97,42803.35,42143336,44456713.08
2024-08-07,NIFTY,360870,9021750,21947.00,138693795,3467344875,8430782.24,8452729.24,118107.97,42803.35,42143336,44456713.08
2024-08-07,NIFTYNXT50,762,7620,54.88,1498,14980,109.95,164.83,118107.97,42803.35,42143336,44456713.08
2024-08-08,BANKNIFTY,159692,2395380,12046.85,57823929,867358935,4373530.56,4385577.41,115117.83,43141.89,43186203,44191907.61
2024-08-08,FINNIFTY,2664,66600,152.40,8371233,209280825,479310.22,479462.62,115117.83,43141.89,43186203,44191907.61
2024-08-08,MIDCPNIFTY,10626,531300,667.76,6872096,343604800,431412.56,432080.32,115117.83,43141.89,43186203,44191907.61
2024-08-08,NIFTY,411408,10285200,24920.77,724699724,18117493100,43881280.32,43906201.09,115117.83,43141.89,43186203,44191907.61
