Date,Symbol,Futures Contracts,Futures Quantity,Futures Value (Rs. In Crs.),Options Contracts,Options Quantity,Options Value (Rs. In Crs.),Total Overall Value (Rs. In Crs.),Equity Traded Value (Rs. In Crs.),Equity Traded Quantity (in Lakhs),Equity Number of Trades,Equity Total Market Cap (Rs. Crs.)
2022-04-11,MIDCPNIFTY,11,825,0.64,0,0,0.00,0.64,63754.96,28578.31,23475481,27279365.65
2022-04-11,NIFTY,230038,11501900,20419.08,37310729,1865536450,3327402.17,3347821.25,63754.96,28578.31,23475481,27279365.65
2022-04-12,BANKNIFTY,197231,4930775,18571.66,63619613,1590490325,5997220.98,6015792.64,68869.02,26678.54,24453864,26969715.59
2022-04-12,FINNIFTY,96,3840,6.74,318580,12743200,22392.51,22399.25,68869.02,26678.54,24453864,26969715.59
2022-04-12,MIDCPNIFTY,7,525,0.40,64,4800,3.84,4.24,68869.02,26678.54,24453864,26969715.59
2022-04-12,NIFTY,250779,12538950,22028.54,56568396,2828419800,4993451.06,5015479.60,68869.02,26678.54,24453864,26969715.59
2022-04-13,BANKNIFTY,177640,4441000,16786.11,116092327,2902308175,10974378.16,10991164.27,56580.43,22642.8,20195646,26973725.39
2022-04-13,FINNIFTY,45,1800,3.18,706,28240,50.33,53.51,56580.43,22642.8,20195646,26973725.39
2022-04-13,MIDCPNIFTY,10,750,0.57,0,0,0.00,0.57,56580.43,22642.8,20195646,26973725.39
2022-04-13,NIFTY,222523,11126150,19571.77,83178850,4158942500,7322389.94,7341961.71,56580.43,22642.8,20195646,26973725.39
2022-04-18,BANKNIFTY,178953,4473825,16492.29,34651354,866283850,3220882.26,3237374.55,71333.94,26322.94,25886052,26711240.72
2022-04-18,FINNIFTY,43,1720,2.94,25351,1014040,1755.52,1758.46,71333.94,26322.94,25886052,26711240.72
2022-04-18,MIDCPNIFTY,22,1650,1.22,2,150,0.08,1.30,71333.94,26322.94,25886052,26711240.72
2022-04-18,NIFTY,229441,11472050,19751.49,30977916,1548895800,2691309.42,2711060.91,71333.94,26322.94,25886052,26711240.72
2022-04-19,BANKNIFTY,225952,5648800,20788.94,57804217,1445105425,5358206.36,5378995.30,79603.45,29816.33,26503892,26372177.09
2022-04-19,FINNIFTY,58,2320,3.93,517038,20681520,35141.63,35145.56,79603.45,29816.33,26503892,26372177.09
2022-04-19,MIDCPNIFTY,33,2475,1.82,41,3075,2.35,4.17,79603.45,29816.33,26503892,26372177.09
2022-04-19,NIFTY,302936,15146800,25975.09,46830627,2341531350,4048754.26,4074729.35,79603.45,29816.33,26503892,26372177.09
2022-04-20,BANKNIFTY,199698,4992450,18186.96,70897024,1772425600,6489167.39,6507354.35,62399.82,23449.64,22370680,26594154.35
2022-04-20,FINNIFTY,68,2720,4.56,1303,52120,89.29,93.85,62399.82,23449.64,22370680,26594154.35
2022-04-20,MIDCPNIFTY,5,375,0.28,0,0,0.00,0.28,62399.82,23449.64,22370680,26594154.35
2022-04-20,NIFTY,262659,13132950,22503.10,57706606,2885330300,4954174.47,4976677.57,62399.82,23449.64,22370680,26594154.35
2022-04-21,BANKNIFTY,166478,4161950,15293.81,121322153,3033053825,11134630.45,11149924.26,62788.94,24414.78,20147248,26945227.09
2022-04-21,FINNIFTY,31,1240,2.11,2331,93240,161.77,163.88,62788.94,24414.78,20147248,26945227.09
2022-04-21,MIDCPNIFTY,1,75,0.05,0,0,0.00,0.05,62788.94,24414.78,20147248,26945227.09
2022-04-21,NIFTY,241102,12055100,20938.21,81467330,4073366500,7058851.07,7079789.28,62788.94,24414.78,20147248,26945227.09
2022-04-22,BANKNIFTY,194920,4873000,17701.76,27978301,699457525,2569973.22,2587674.98,64295.64,26475.87,21681112,26729716.32
2022-04-22,FINNIFTY,44,1760,2.95,8566,342640,586.79,589.74,64295.64,26475.87,21681112,26729716.32
2022-04-22,MIDCPNIFTY,10,750,0.56,0,0,0.00,0.56,64295.64,26475.87,21681112,26729716.32
2022-04-22,NIFTY,238445,11922250,20553.89,28736346,1436817300,2493060.74,2513614.63,64295.64,26475.87,21681112,26729716.32
2022-04-25,BANKNIFTY,281906,7047650,25372.52,40247726,1006193150,3653037.01,3678409.53,58472.02,25435.79,22045729,26294351.67
2022-04-25,FINNIFTY,217,8680,14.44,28317,1132680,1903.31,1917.75,58472.02,25435.79,22045729,26294351.67
2022-04-25,MIDCPNIFTY,15,1125,0.81,0,0,0.00,0.81,58472.02,25435.79,22045729,26294351.67
2022-04-25,NIFTY,304772,15238600,25863.04,34945758,1747287900,2995719.88,3021582.92,58472.02,25435.79,22045729,26294351.67
2022-04-26,BANKNIFTY,203032,5075800,18520.71,41108508,1027712700,3763827.46,3782348.17,57403.97,22905.3,20404140,26710116.64
2022-04-26,FINNIFTY,211,8440,14.19,486902,19476080,32759.22,32773.41,57403.97,22905.3,20404140,26710116.64
2022-04-26,MIDCPNIFTY,44,3300,2.42,58,4350,3.28,5.70,57403.97,22905.3,20404140,26710116.64
2022-04-26,NIFTY,272694,13634700,23404.45,39073458,1953672900,3360926.62,3384331.07,57403.97,22905.3,20404140,26710116.64
2022-04-27,BANKNIFTY,212556,5313900,19152.14,54654701,1366367525,4960350.28,4979502.42,64962.92,27530.94,22351156,26467202.9
2022-04-27,FINNIFTY,22,880,1.46,518,20720,35.61,37.07,64962.92,27530.94,22351156,26467202.9
2022-04-27,MIDCPNIFTY,9,675,0.49,0,0,0.00,0.49,64962.92,27530.94,22351156,26467202.9
2022-04-27,NIFTY,351457,17572850,29976.58,51951534,2597576700,4451248.11,4481224.69,64962.92,27530.94,22351156,26467202.9
2022-04-28,BANKNIFTY,233950,5848750,21215.31,122000718,3050017950,11075693.98,11096909.29,67021.36,25940.68,21770662,26715125.34
2022-04-28,FINNIFTY,16,640,1.06,2014,80560,138.06,139.12,67021.36,25940.68,21770662,26715125.34
2022-04-28,MIDCPNIFTY,6,450,0.33,0,0,0.00,0.33,67021.36,25940.68,21770662,26715125.34
2022-04-28,NIFTY,396493,19824650,34116.11,89301736,4465086800,7684007.21,7718123.32,67021.36,25940.68,21770662,26715125.34
2022-04-29,BANKNIFTY,206564,5164100,18832.59,32535635,813390875,2990727.35,3009559.94,69312.55,26154.99,23337570,26459284.79
2022-04-29,FINNIFTY,132,5280,8.91,26546,1061840,1805.14,1814.05,69312.55,26154.99,23337570,26459284.79
2022-04-29,MIDCPNIFTY,28,2100,1.53,0,0,0.00,1.53,69312.55,26154.99,23337570,26459284.79
2022-04-29,NIFTY,305125,15256250,26351.61,35000367,1750018350,3043191.71,3069543.32,69312.55,26154.99,23337570,26459284.79
2022-05-02,BANKNIFTY,158489,3962225,14277.22,35777898,894447450,3248670.61,3262947.83,52729.63,22023.96,20930593,26353134.62
2022-05-02,FINNIFTY,32,1280,2.13,448416,17936640,29809.89,29812.02,52729.63,22023.96,20930593,26353134.62
2022-05-02,MIDCPNIFTY,14,1050,0.75,10,750,0.60,1.35,52729.63,22023.96,20930593,26353134.62
2022-05-02,NIFTY,214053,10702650,18212.64,34883217,1744160850,2994986.50,3013199.14,52729.63,22023.96,20930593,26353134.62
2022-05-04,BANKNIFTY,259302,6482550,23215.19,68394935,1709873375,6179698.47,6202913.66,61665.96,23794.83,23888920,25751426.7
2022-05-04,FINNIFTY,34,1360,2.23,1271,50840,85.98,88.21,61665.96,23794.83,23888920,25751426.7
2022-05-04,MIDCPNIFTY,10,750,0.53,0,0,0.00,0.53,61665.96,23794.83,23888920,25751426.7
2022-05-04,NIFTY,361695,18084750,30518.35,72551849,3627592450,6186643.43,6217161.78,61665.96,23794.83,23888920,25751426.7
2022-05-05,BANKNIFTY,217472,5436800,19358.60,148542909,3713572725,13253982.47,13273341.07,52171.92,20101.46,19437960,25756054.48
2022-05-05,FINNIFTY,58,2320,3.81,3435,137400,231.52,235.33,52171.92,20101.46,19437960,25756054.48
2022-05-05,MIDCPNIFTY,9,675,0.48,0,0,0.00,0.48,52171.92,20101.46,19437960,25756054.48
2022-05-05,NIFTY,298117,14905850,25086.20,112758869,5637943450,9515297.01,9540383.21,52171.92,20101.46,19437960,25756054.48
2022-05-06,BANKNIFTY,216656,5416400,18742.64,34907874,872696850,3054945.87,3073688.51,59820.17,21736.85,23112226,25311424.39
2022-05-06,FINNIFTY,45,1800,2.87,12722,508880,833.92,836.79,59820.17,21736.85,23112226,25311424.39
2022-05-06,MIDCPNIFTY,13,975,0.68,11,825,0.65,1.33,59820.17,21736.85,23112226,25311424.39
2022-05-06,NIFTY,294416,14720800,24168.18,33272547,1663627350,2777205.68,2801373.86,59820.17,21736.85,23112226,25311424.39
2022-05-09,BANKNIFTY,213427,5335675,18285.46,42788876,1069721900,3704016.24,3722301.70,55853.73,21764.51,22029215,24988136.31
2022-05-09,FINNIFTY,188,7520,11.93,47579,1903160,3048.24,3060.17,55853.73,21764.51,22029215,24988136.31
2022-05-09,MIDCPNIFTY,13,975,0.66,46,3450,2.70,3.36,55853.73,21764.51,22029215,24988136.31
2022-05-09,NIFTY,287355,14367750,23391.16,44299445,2214972250,3652482.56,3675873.72,55853.73,21764.51,22029215,24988136.31
2022-05-10,BANKNIFTY,193990,4849750,16759.49,45664275,1141606875,3961728.30,3978487.79,53609.18,19628.77,21886892,24647353.25
2022-05-10,FINNIFTY,137,5480,8.75,652329,26093160,41664.24,41672.99,53609.18,19628.77,21886892,24647353.25
2022-05-10,MIDCPNIFTY,12,900,0.60,12,900,0.72,1.32,53609.18,19628.77,21886892,24647353.25
2022-05-10,NIFTY,285262,14263100,23272.09,45171314,2258565700,3715033.85,3738305.94,53609.18,19628.77,21886892,24647353.25
2022-05-11,BANKNIFTY,232354,5808850,20062.69,65939130,1648478250,5718425.55,5738488.24,60615.48,26727.42,25503493,24438950.82
2022-05-11,FINNIFTY,24,960,1.54,1052,42080,69.55,71.09,60615.48,26727.42,25503493,24438950.82
2022-05-11,MIDCPNIFTY,15,1125,0.73,0,0,0.00,0.73,60615.48,26727.42,25503493,24438950.82
2022-05-11,NIFTY,321159,16057950,25940.24,71077150,3553857500,5797895.01,5823835.25,60615.48,26727.42,25503493,24438950.82
2022-05-12,BANKNIFTY,258639,6465975,21869.09,140809563,3520239075,11958239.21,11980108.30,56661.92,24130.97,24163535,23902974.4
2022-05-12,FINNIFTY,18,720,1.13,1101,44040,71.97,73.10,56661.92,24130.97,24163535,23902974.4
2022-05-12,MIDCPNIFTY,15,1125,0.72,0,0,0.00,0.72,56661.92,24130.97,24163535,23902974.4
2022-05-12,NIFTY,340162,17008100,26966.80,106496664,5324833200,8519436.13,8546402.93,56661.92,24130.97,24163535,23902974.4
2022-05-13,BANKNIFTY,224592,5614800,18892.44,37326625,933165625,3182264.96,3201157.40,62286.41,24432.15,24716399,23936882.44
2022-05-13,FINNIFTY,57,2280,3.55,14610,584400,933.06,936.61,62286.41,24432.15,24716399,23936882.44
2022-05-13,MIDCPNIFTY,15,1125,0.73,0,0,0.00,0.73,62286.41,24432.15,24716399,23936882.44
2022-05-13,NIFTY,355189,17759450,28312.43,36629226,1831461300,2958119.67,2986432.10,62286.41,24432.15,24716399,23936882.44
2022-05-16,BANKNIFTY,227856,5696400,19134.28,43022090,1075552250,3636749.02,3655883.30,46863.04,20512.09,19034651,24146999.87
2022-05-16,FINNIFTY,47,1880,2.92,45232,1809280,2835.64,2838.56,46863.04,20512.09,19034651,24146999.87
2022-05-16,MIDCPNIFTY,6,450,0.30,0,0,0.00,0.30,46863.04,20512.09,19034651,24146999.87
2022-05-16,NIFTY,241926,12096300,19201.62,35660689,1783034450,2862440.78,2881642.40,46863.04,20512.09,19034651,24146999.87
2022-05-17,BANKNIFTY,198866,4971650,16936.92,47172077,1179301925,4022783.57,4039720.49,55967.23,21028.17,20878737,25352389.56
2022-05-17,FINNIFTY,49,1960,3.09,555421,22216840,34914.43,34917.52,55967.23,21028.17,20878737,25352389.56
2022-05-17,MIDCPNIFTY,17,1275,0.85,21,1575,1.18,2.03,55967.23,21028.17,20878737,25352389.56
2022-05-17,NIFTY,282978,14148900,22789.89,50142409,2507120450,4047153.34,4069943.23,55967.23,21028.17,20878737,25352389.56
2022-05-18,BANKNIFTY,176547,4413675,15162.01,62241908,1556047700,5362967.90,5378129.91,59932.35,22632.81,21275257,25374199.33
2022-05-18,FINNIFTY,83,3320,5.29,2621,104840,171.48,176.77,59932.35,22632.81,21275257,25374199.33
2022-05-18,MIDCPNIFTY,14,1050,0.71,0,0,0.00,0.71,59932.35,22632.81,21275257,25374199.33
2022-05-18,NIFTY,287197,14359850,23369.30,68620713,3431035650,5595167.48,5618536.78,59932.35,22632.81,21275257,25374199.33
2022-05-19,BANKNIFTY,176709,4417725,14749.35,117796869,2944921725,9871924.89,9886674.24,54147.64,21256.23,20957252,24702012.59
2022-05-19,FINNIFTY,85,3400,5.26,2748,109920,177.52,182.78,54147.64,21256.23,20957252,24702012.59
2022-05-19,MIDCPNIFTY,21,1575,1.01,0,0,0.00,1.01,54147.64,21256.23,20957252,24702012.59
2022-05-19,NIFTY,308199,15409950,24417.75,90856507,4542825350,7260592.05,7285009.80,54147.64,21256.23,20957252,24702012.59
2022-05-20,BANKNIFTY,204512,5112800,17428.62,28805203,720130075,2469688.37,2487116.99,53004.9,20346.03,18641582,25272635.24
2022-05-20,FINNIFTY,71,2840,4.47,15323,612920,988.46,992.93,53004.9,20346.03,18641582,25272635.24
2022-05-20,MIDCPNIFTY,11,825,0.55,0,0,0.00,0.55,53004.9,20346.03,18641582,25272635.24
2022-05-20,NIFTY,334798,16739900,27038.19,30669593,1533479650,2499610.34,2526648.53,53004.9,20346.03,18641582,25272635.24
2022-05-23,BANKNIFTY,219532,5488300,18939.83,38443563,961089075,3330984.55,3349924.38,55019.2,20954.22,19854821,25157943.01
2022-05-23,FINNIFTY,74,2960,4.71,48238,1929520,3092.71,3097.42,55019.2,20954.22,19854821,25157943.01
2022-05-23,MIDCPNIFTY,16,1200,0.81,0,0,0.00,0.81,55019.2,20954.22,19854821,25157943.01
2022-05-23,NIFTY,326775,16338750,26598.70,37848222,1892411100,3092427.55,3119026.25,55019.2,20954.22,19854821,25157943.01
2022-05-24,BANKNIFTY,204865,5121625,17581.95,45559913,1138997825,3929185.93,3946767.88,51647.55,22924.99,18768375,25003011.28
2022-05-24,FINNIFTY,309,12360,19.56,683986,27359440,43327.27,43346.83,51647.55,22924.99,18768375,25003011.28
2022-05-24,MIDCPNIFTY,7,525,0.35,2,150,0.11,0.46,51647.55,22924.99,18768375,25003011.28
2022-05-24,NIFTY,326232,16311600,26321.46,45894975,2294748750,3736593.08,3762914.54,51647.55,22924.99,18768375,25003011.28
2022-05-25,BANKNIFTY,221336,5533400,19104.81,50864722,1271618050,4402539.61,4421644.42,49461.38,18839.92,19393604,24612994.25
2022-05-25,FINNIFTY,94,3760,6.00,1550,62000,100.60,106.60,49461.38,18839.92,19393604,24612994.25
2022-05-25,MIDCPNIFTY,23,1725,1.13,0,0,0.00,1.13,49461.38,18839.92,19393604,24612994.25
2022-05-25,NIFTY,362814,18140700,29170.26,57540247,2877012350,4661800.54,4690970.80,49461.38,18839.92,19393604,24612994.25
2022-05-26,BANKNIFTY,306148,7653700,26647.39,142305501,3557637525,12376787.46,12403434.85,59682.59,22667.75,22138455,24835758.03
2022-05-26,FINNIFTY,269,10760,17.23,1426,57040,92.58,109.81,59682.59,22667.75,22138455,24835758.03
2022-05-26,MIDCPNIFTY,36,2700,1.75,0,0,0.00,1.75,59682.59,22667.75,22138455,24835758.03
2022-05-26,NIFTY,527351,26367550,42291.38,121189065,6059453250,9755620.31,9797911.69,59682.59,22667.75,22138455,24835758.03
2022-05-27,BANKNIFTY,159467,3986675,14181.45,26458524,661463100,2357047.86,2371229.31,47970.02,18002.45,17696766,25095413.74
2022-05-27,FINNIFTY,102,4080,6.69,13997,559880,915.33,922.02,47970.02,18002.45,17696766,25095413.74
2022-05-27,MIDCPNIFTY,13,975,0.65,0,0,0.00,0.65,47970.02,18002.45,17696766,25095413.74
2022-05-27,NIFTY,239822,11991100,19537.23,27750703,1387535150,2271805.93,2291343.16,47970.02,18002.45,17696766,25095413.74
2022-05-30,BANKNIFTY,131912,3297800,11863.70,30081060,752026500,2704061.75,2715925.45,51125.9,19631.62,18147052,25619518.42
2022-05-30,FINNIFTY,222,8880,14.72,45342,1813680,3008.84,3023.56,51125.9,19631.62,18147052,25619518.42
2022-05-30,MIDCPNIFTY,15,1125,0.76,0,0,0.00,0.76,51125.9,19631.62,18147052,25619518.42
2022-05-30,NIFTY,223031,11151550,18524.11,34739974,1736998700,2882697.09,2901221.20,51125.9,19631.62,18147052,25619518.42
2022-05-31,BANKNIFTY,144794,3619850,12930.51,42805079,1070126975,3836514.88,3849445.39,110982.8,32722.92,22038484,25568863.03
2022-05-31,FINNIFTY,539,21560,35.72,830090,33203600,55034.19,55069.91,110982.8,32722.92,22038484,25568863.03
2022-05-31,MIDCPNIFTY,42,3150,2.16,8,600,0.43,2.59,110982.8,32722.92,22038484,25568863.03
2022-05-31,NIFTY,252833,12641650,20999.38,48921006,2446050300,4076707.93,4097707.31,110982.8,32722.92,22038484,25568863.03
2022-06-01,BANKNIFTY,173510,4337750,15446.41,62699478,1567486950,5599402.93,5614849.34,49750.81,19642.08,18604281,25497099.42
2022-06-01,FINNIFTY,84,3360,5.55,870,34800,58.44,63.99,49750.81,19642.08,18604281,25497099.42
2022-06-01,MIDCPNIFTY,5,375,0.26,0,0,0.00,0.26,49750.81,19642.08,18604281,25497099.42
2022-06-01,NIFTY,243249,12162450,20110.59,61696767,3084838350,5123979.95,5144090.54,49750.81,19642.08,18604281,25497099.42
2022-06-02,BANKNIFTY,136114,3402850,12119.36,130803907,3270097675,11657176.28,11669295.64,49672.72,20693.07,17509358,25694440.68
2022-06-02,FINNIFTY,26,1040,1.71,1702,68080,114.46,116.17,49672.72,20693.07,17509358,25694440.68
2022-06-02,MIDCPNIFTY,3,225,0.15,0,0,0.00,0.15,49672.72,20693.07,17509358,25694440.68
2022-06-02,NIFTY,259350,12967500,21456.42,102145331,5107266550,8463696.85,8485153.27,49672.72,20693.07,17509358,25694440.68
2022-06-03,BANKNIFTY,191016,4775400,17031.36,29993411,749835275,2699835.42,2716866.78,51859.34,18545.88,17259847,25500250.99
2022-06-03,FINNIFTY,54,2160,3.56,21914,876560,1470.24,1473.80,51859.34,18545.88,17259847,25500250.99
2022-06-03,MIDCPNIFTY,2,150,0.10,0,0,0.00,0.10,51859.34,18545.88,17259847,25500250.99
2022-06-03,NIFTY,217013,10850650,18124.54,27700369,1385018450,2325924.22,2344048.76,51859.34,18545.88,17259847,25500250.99
2022-06-06,BANKNIFTY,138884,3472100,12281.20,33508207,837705175,2988209.85,3000491.05,42253.36,17644.19,15893764,25439298.49
2022-06-06,FINNIFTY,15,600,0.98,59542,2381680,3920.63,3921.61,42253.36,17644.19,15893764,25439298.49
2022-06-06,MIDCPNIFTY,5,375,0.25,0,0,0.00,0.25,42253.36,17644.19,15893764,25439298.49
2022-06-06,NIFTY,193394,9669700,16003.39,33733275,1686663750,2813235.65,2829239.04,42253.36,17644.19,15893764,25439298.49
2022-06-07,BANKNIFTY,155911,3897775,13671.83,34925080,873127000,3093326.87,3106998.70,42434.17,17658.81,15194659,25232647.39
2022-06-07,FINNIFTY,152,6080,9.85,1069971,42798840,69263.25,69273.10,42434.17,17658.81,15194659,25232647.39
2022-06-07,MIDCPNIFTY,1,75,0.05,10,750,0.51,0.56,42434.17,17658.81,15194659,25232647.39
2022-06-07,NIFTY,229895,11494750,18874.73,38441751,1922087550,3184721.80,3203596.53,42434.17,17658.81,15194659,25232647.39
2022-06-08,BANKNIFTY,219512,5487800,19311.16,67598863,1689971575,5969720.03,5989031.19,43938.32,17819.68,16914220,25151759.19
2022-06-08,FINNIFTY,87,3480,5.65,3332,133280,221.27,226.92,43938.32,17819.68,16914220,25151759.19
2022-06-08,MIDCPNIFTY,3,225,0.15,0,0,0.00,0.15,43938.32,17819.68,16914220,25151759.19
2022-06-08,NIFTY,284085,14204250,23323.72,70809317,3540465850,5840159.32,5863483.04,43938.32,17819.68,16914220,25151759.19
2022-06-09,BANKNIFTY,149388,3734700,13049.42,127842242,3196056050,11179189.72,11192239.14,40284.5,16124.01,15092929,25292460.27
2022-06-09,FINNIFTY,17,680,1.10,6015,240600,398.04,399.14,40284.5,16124.01,15092929,25292460.27
2022-06-09,MIDCPNIFTY,4,300,0.20,0,0,0.00,0.20,40284.5,16124.01,15092929,25292460.27
2022-06-09,NIFTY,268580,13429000,22022.08,104625964,5231298200,8577535.68,8599557.76,40284.5,16124.01,15092929,25292460.27
2022-06-10,BANKNIFTY,143592,3589800,12428.30,22466136,561653400,1966095.17,1978523.47,40233.96,15172.15,15053054,24979950.32
2022-06-10,FINNIFTY,98,3920,6.25,22316,892640,1450.87,1457.12,40233.96,15172.15,15053054,24979950.32
2022-06-10,MIDCPNIFTY,6,450,0.30,0,0,0.00,0.30,40233.96,15172.15,15053054,24979950.32
2022-06-10,NIFTY,290316,14515800,23594.61,27250549,1362527450,2237344.40,2260939.01,40233.96,15172.15,15053054,24979950.32
2022-06-13,BANKNIFTY,160137,4003425,13388.73,32175133,804378325,2735146.24,2748534.97,44277.64,18636.63,18744967,24313175.32
2022-06-13,FINNIFTY,28,1120,1.72,71635,2865400,4477.68,4479.40,44277.64,18636.63,18744967,24313175.32
2022-06-13,MIDCPNIFTY,5,375,0.24,0,0,0.00,0.24,44277.64,18636.63,18744967,24313175.32
2022-06-13,NIFTY,302630,15131500,23873.81,40350693,2017534650,3243689.81,3267563.62,44277.64,18636.63,18744967,24313175.32
2022-06-14,BANKNIFTY,176076,4401900,14709.61,45461540,1136538500,3838680.66,3853390.27,44327.35,18016.17,16816701,24268569.74
2022-06-14,FINNIFTY,64,2560,3.93,1539997,61599880,94542.24,94546.17,44327.35,18016.17,16816701,24268569.74
2022-06-14,MIDCPNIFTY,6,450,0.28,15,1125,0.80,1.08,44327.35,18016.17,16816701,24268569.74
2022-06-14,NIFTY,265110,13255500,20903.75,51608169,2580408450,4112772.10,4133675.85,44327.35,18016.17,16816701,24268569.74
2022-06-15,BANKNIFTY,123188,3079700,10302.08,45672920,1141823000,3845037.51,3855339.59,36570.98,14535.35,14410500,24275722.05
2022-06-15,FINNIFTY,52,2080,3.20,5111,204440,322.32,325.52,36570.98,14535.35,14410500,24275722.05
2022-06-15,MIDCPNIFTY,1,75,0.05,0,0,0.00,0.05,36570.98,14535.35,14410500,24275722.05
2022-06-15,NIFTY,187627,9381350,14770.99,49005953,2450297650,3893368.56,3908139.55,36570.98,14535.35,14410500,24275722.05
2022-06-16,BANKNIFTY,224165,5604125,18584.64,157221846,3930546150,13065219.42,13083804.06,47921.21,20318.71,20026148,23729134.56
2022-06-16,FINNIFTY,49,1960,2.99,7528,301120,474.18,477.17,47921.21,20318.71,20026148,23729134.56
2022-06-16,MIDCPNIFTY,7,525,0.33,0,0,0.00,0.33,47921.21,20318.71,20026148,23729134.56
2022-06-16,NIFTY,430019,21500950,33445.00,150257114,7512855700,11768586.58,11802031.58,47921.21,20318.71,20026148,23729134.56
2022-06-17,BANKNIFTY,196823,4920575,16095.29,33776026,844400650,2781106.09,2797201.38,61193.17,21516.53,21059837,23479865.06
2022-06-17,FINNIFTY,65,2600,3.92,28508,1140320,1745.52,1749.44,61193.17,21516.53,21059837,23479865.06
2022-06-17,MIDCPNIFTY,19,1425,0.87,0,0,0.00,0.87,61193.17,21516.53,21059837,23479865.06
2022-06-17,NIFTY,388464,19423200,29744.19,38922749,1946137450,3024730.45,3054474.64,61193.17,21516.53,21059837,23479865.06
2022-06-20,BANKNIFTY,171396,4284900,14019.43,38466325,961658125,3173807.58,3187827.01,44955.58,21153.73,19486767,23298856.33
2022-06-20,FINNIFTY,161,6440,9.74,116534,4661360,7095.23,7104.97,44955.58,21153.73,19486767,23298856.33
2022-06-20,MIDCPNIFTY,7,525,0.32,0,0,0.00,0.32,44955.58,21153.73,19486767,23298856.33
2022-06-20,NIFTY,258205,12910250,19766.55,42116277,2105813850,3260567.43,3280333.98,44955.58,21153.73,19486767,23298856.33
2022-06-21,BANKNIFTY,228025,5700625,18964.55,53835033,1345875825,4480895.40,4499859.95,43554.92,19914.46,16387307,23872728.02
2022-06-21,FINNIFTY,167,6680,10.36,1646018,65840720,101803.56,101813.92,43554.92,19914.46,16387307,23872728.02
2022-06-21,MIDCPNIFTY,12,900,0.56,30,2250,1.58,2.14,43554.92,19914.46,16387307,23872728.02
2022-06-21,NIFTY,300690,15034500,23458.56,58447919,2922395950,4568085.21,4591543.77,43554.92,19914.46,16387307,23872728.02
2022-06-22,BANKNIFTY,159769,3994225,13143.96,63852872,1596321800,5277308.25,5290452.21,38618.7,17534.93,15945545,23530296.53
2022-06-22,FINNIFTY,93,3720,5.69,3438,137520,214.43,220.12,38618.7,17534.93,15945545,23530296.53
2022-06-22,MIDCPNIFTY,6,450,0.28,0,0,0.00,0.28,38618.7,17534.93,15945545,23530296.53
2022-06-22,NIFTY,301058,15052900,23256.77,68371733,3418586650,5313338.94,5336595.71,38618.7,17534.93,15945545,23530296.53
2022-06-23,BANKNIFTY,270899,6772475,22429.46,184027923,4600698075,15247260.26,15269689.72,42435.31,16587.65,16439684,23768933.12
2022-06-23,FINNIFTY,115,4600,7.07,4722,188880,294.99,302.06,42435.31,16587.65,16439684,23768933.12
2022-06-23,MIDCPNIFTY,11,825,0.51,0,0,0.00,0.51,42435.31,16587.65,16439684,23768933.12
2022-06-23,NIFTY,396345,19817250,30759.02,146531030,7326551500,11388430.99,11419190.01,42435.31,16587.65,16439684,23768933.12
2022-06-24,BANKNIFTY,179825,4495625,15112.64,28266451,706661275,2386235.01,2401347.65,40356.18,16507.59,15598181,24031926.16
2022-06-24,FINNIFTY,183,7320,11.40,35209,1408360,2227.25,2238.65,40356.18,16507.59,15598181,24031926.16
2022-06-24,MIDCPNIFTY,8,600,0.38,0,0,0.00,0.38,40356.18,16507.59,15598181,24031926.16
2022-06-24,NIFTY,247312,12365600,19398.65,30628098,1531404900,2420361.03,2439759.68,40356.18,16507.59,15598181,24031926.16
2022-06-27,BANKNIFTY,178980,4474500,15186.89,36812099,920302475,3141344.74,3156531.63,40649.96,16889.1,15960123,24265927.4
2022-06-27,FINNIFTY,351,14040,22.09,167446,6697840,10580.84,10602.93,40649.96,16889.1,15960123,24265927.4
2022-06-27,MIDCPNIFTY,6,450,0.29,0,0,0.00,0.29,40649.96,16889.1,15960123,24265927.4
2022-06-27,NIFTY,248889,12444450,19761.56,38058907,1902945350,3032391.34,3052152.90,40649.96,16889.1,15960123,24265927.4
2022-06-28,BANKNIFTY,178476,4461900,15016.41,41878497,1046962425,3544985.06,3560001.47,40876.86,17161.12,15672054,24317540.7
2022-06-28,FINNIFTY,933,37320,57.99,2363378,94535120,147274.32,147332.31,40876.86,17161.12,15672054,24317540.7
2022-06-28,MIDCPNIFTY,21,1575,1.01,65,4875,3.26,4.27,40876.86,17161.12,15672054,24317540.7
2022-06-28,NIFTY,283361,14168050,22364.89,44989387,2249469350,3570353.29,3592718.18,40876.86,17161.12,15672054,24317540.7
2022-06-29,BANKNIFTY,160121,4003025,13341.95,47452956,1186323900,3987132.59,4000474.54,47365.66,18337.85,16704758,24257437.87
2022-06-29,FINNIFTY,33,1320,2.05,3163,126520,200.23,202.28,47365.66,18337.85,16704758,24257437.87
2022-06-29,MIDCPNIFTY,4,300,0.19,0,0,0.00,0.19,47365.66,18337.85,16704758,24257437.87
2022-06-29,NIFTY,343279,17163950,27067.90,60354962,3017748100,4780528.53,4807596.43,47365.66,18337.85,16704758,24257437.87
2022-06-30,BANKNIFTY,257720,6443000,21565.71,133924348,3348108700,11232677.80,11254243.51,47834.51,16599.15,17697578,24203324.25
