Date,Symbol,No of Contracts Traded,Traded Quantity,Total Traded Value (Rs. In Crs.)
2016-09-29,BANKNIFTY,3823441,152937640,299793.47
2016-09-29,NIFTY,8515110,638633250,557003.56
2016-09-30,BANKNIFTY,966625,38665000,75229.01
2016-09-30,NIFTY,1952088,146406600,127072.33
2016-10-03,BANKNIFTY,1113906,44556240,87207.04
2016-10-03,NIFTY,1723604,129270300,113258.57
2016-10-04,BANKNIFTY,1765867,70634680,138974.74
2016-10-04,NIFTY,1556063,116704725,102808.23
2016-10-05,BANKNIFTY,2712481,108499240,213551.36
2016-10-05,NIFTY,1350200,101265000,89207.37
2016-10-06,BANKNIFTY,4622117,184884680,361383.11
2016-10-06,NIFTY,1533909,115043175,101147.63
2016-10-07,BANKNIFTY,1066044,42641760,83253.63
2016-10-07,NIFTY,1460725,109554375,96069.28
2016-10-10,BANKNIFTY,1206328,48253120,94157.17
2016-10-10,NIFTY,923959,69296925,60676.61
2016-10-13,BANKNIFTY,4613033,184521320,353495.98
2016-10-13,NIFTY,2672126,200409450,174052.45
2016-10-14,BANKNIFTY,960023,38400920,73566.23
2016-10-14,NIFTY,1876409,140730675,121963.67
2016-10-17,BANKNIFTY,1737329,69493160,133279.63
2016-10-17,NIFTY,2210498,165787350,143371.56
2016-10-18,BANKNIFTY,2194409,87776360,169301.10
2016-10-18,NIFTY,2835742,212680650,183835.40
2016-10-19,BANKNIFTY,2445530,97821200,190018.46
2016-10-19,NIFTY,1967928,147594600,128459.02
2016-10-20,BANKNIFTY,5091887,203675480,399560.07
2016-10-20,NIFTY,2158693,161901975,141140.28
2016-10-21,BANKNIFTY,1029218,41168720,80809.10
2016-10-21,NIFTY,2363478,177260850,154416.56
2016-10-24,BANKNIFTY,1150180,46007200,91067.21
2016-10-24,NIFTY,2687294,201547050,175930.17
2016-10-25,BANKNIFTY,1364805,54592200,108149.09
2016-10-25,NIFTY,3192458,239434350,209119.21
2016-10-26,BANKNIFTY,2138707,85548280,168107.03
2016-10-26,NIFTY,4289038,321677850,280041.76
2016-10-27,BANKNIFTY,4096192,163847680,318378.23
2016-10-27,NIFTY,6834112,512558400,442035.63
2016-10-28,BANKNIFTY,1212002,48480080,95057.12
2016-10-28,NIFTY,1178100,88357500,76869.94
2016-11-01,BANKNIFTY,1308970,52358800,102464.69
2016-11-01,NIFTY,1074517,80588775,70238.63
2016-11-02,BANKNIFTY,2412871,96514840,186700.31
2016-11-02,NIFTY,1504571,112842825,97490.61
2016-11-03,BANKNIFTY,4683298,187331920,360893.88
2016-11-03,NIFTY,1373216,102991200,88939.02
2016-11-04,BANKNIFTY,920166,36806640,70950.74
2016-11-04,NIFTY,2039200,152940000,131110.66
2016-11-07,BANKNIFTY,809397,32375880,62682.39
2016-11-07,NIFTY,1331264,99844800,85910.45
2016-11-07,NIFTYIT,2,100,0.10
2016-11-08,BANKNIFTY,1011348,40453920,78656.48
2016-11-08,NIFTY,1717857,128839275,110816.94
2016-11-09,BANKNIFTY,3268228,130729120,251754.12
2016-11-09,NIFTY,6097451,457308825,385708.34
2016-11-10,BANKNIFTY,5580713,223228520,447317.99
2016-11-10,NIFTY,2972894,222967050,190933.39
